Row,Season,No. in series,Company,Deal,Industry,Entrepreneur Gender,Amount,Equity,Valuation,Corcoran,Cuban,Greiner,Herjavec,John,O'Leary,Harrington,Guest,Sharks,per shark,Details / Notes
219,4,15,My Cold Snap,No,Food and Beverage,Male,,,,,,,,,,,,0,,
220,4,16,The Smart Wheel,Yes,Consumer Products,Mixed Team,"1,00,000",30%,"3,33,333",,1,,1,,,,,2,"50,000",
221,4,16,HDYR Sushi Bars,Yes,Food and Beverage,Male,"10,00,000",20%,"50,00,000",,,,,,1,,,1,"10,00,000",
222,4,16,Gotta Have S'More,No,Food and Beverage,Female,,,,,,,,,,,,0,,
223,4,16,Pretty Padded Room,No,Healthcare,Female,,,,,,,,,,,,0,,
224,4,17,Addison's Wonderland,No,Children / Education,Female,,,,,,,,,,,,0,,
225,4,17,Hip Chicks,No,Fashion / Beauty,Female,,,,,,,,,,,,0,,
226,4,17,Proof Eye Wear,No,Fashion / Beauty,Male,,,,,,,,,,,,0,,
227,4,17,Muddy Water Camo,No,Fitness / Sports,Male,,,,,,,,,,,,0,,
228,4,18,Jeska Shoe Company,Yes,Fashion / Beauty,Female,"70,000",70%,"1,00,000",,,,,1,,,,1,"70,000",
229,4,18,Nuts n More,Yes,Food and Beverage,Male,"2,50,000",30%,"8,33,333",,1,,1,,,,,2,"1,25,000",
230,4,18,Neo Innovations,No,Healthcare,Male,,,,,,,,,,,,0,,
231,4,18,PSI Bands,No,Healthcare,Female,,,,,,,,,,,,0,,
232,4,19,CordaRoy's Bean Bag Beds,Yes,Lifestyle / Home,Male,"2,00,000",58%,"3,44,828",,,1,,,,,,1,"2,00,000",
233,4,19,Lose 12,Yes,Fitness / Sports,Male,"1,25,000",25%,"5,00,000",,,,,1,,,,1,"1,25,000",
234,4,19,Baby Loves Disco,No,Children / Education,Mixed Team,,,,,,,,,,,,0,,
235,4,19,Cell Helmet,No,Software / Tech,Male,,,,,,,,,,,,0,,
236,4,20,CoolWraps,Yes,Lifestyle / Home,Male,"2,50,000",100%,"2,50,000",,1,,,,,,,1,"2,50,000",plus inventor gets 3% royalty from all future profits
237,4,20,Simple Sugar Scrubs,Yes,Fashion / Beauty,Female,"1,00,000",33%,"3,03,030",,1,,,,,,,1,"1,00,000",
238,4,20,Drop Stop,Yes,Consumer Products,Male,"3,00,000",20%,"15,00,000",,,1,,,,,,1,"3,00,000",
239,4,20,Traditional Fisheries,No,Food and Beverage,Male,,,,,,,,,,,,0,,
240,4,21,GOBIE H20,Yes,Consumer Products,Male,"3,00,000",40%,"7,50,000",,,,,1,,,,1,"3,00,000",
241,4,21,LiddUp Coolers,Yes,Food and Beverage,Male,"1,00,000",33%,"3,03,030",,,,,,1,,,1,"1,00,000",
242,4,21,Rootsuit,No,Fashion / Beauty,Male,,,,,,,,,,,,0,,
243,4,21,Echo Valley Meats,No,Food and Beverage,Male,,,,,,,,,,,,0,,
244,4,22,Wicked Good Cup Cakes,Yes,Food and Beverage,Female,"75,000",n/a,n/a,,,,,,1,,,1,"75,000","Zero equity, but 1 royalty until investor gets money back,t hen .45 cent royalty in perpetuity."
245,4,22,The Mission Belt,Yes,Fashion / Beauty,Male,"50,000",37.50%,"1,33,333",,,,,1,,,,1,"50,000",
246,4,22,Shell Bobbers,Yes,Fitness / Sports,Male,"80,000",33%,"2,42,424",,1,,,,,,,1,"80,000",
247,4,22,Tremont Electric,No,Green/CleanTech,Male,,,,,,,,,,,,0,,
248,4,23,Me-Ma's Gumbo Bricks,Yes,Food and Beverage,Female,"2,00,000",50%,"4,00,000",,,1,,,1,,,2,"1,00,000",
249,4,23,Misto Box Coffee Club,Yes,Food and Beverage,Mixed Team,"75,000",30%,"2,50,000",,1,,,,,,,1,"75,000",
250,4,23,Vermont Butcher Block,No,Lifestyle / Home,Male,,,,,,,,,,,,0,,
251,4,23,Squirrel Boss Bird Feeder,No,Pet Products,Male,,,,,,,,,,,,0,,
252,4,24,Pink Shutter Photo Booths,Yes,Consumer Products,Male,"3,00,000",33%,"9,09,091",1,,,,,,,,1,"3,00,000",plus equal salary distribution of all the profits
253,4,24,KazAM Balancing Bike's,Yes,Fitness / Sports,Female,"3,00,000",32%,"9,37,500",1,1,,,,,,,2,"1,50,000",
254,4,24,Baby's Badass Burgers,No,Food and Beverage,Female,,,,,,,,,,,,0,,
255,4,24,Track Days,No,Uncertain / Other,Male,,,,,,,,,,,,0,,
